From,To,Type,Label
Users,UploadedFiles,one-to-many,yukler
Users,RulePipelines,one-to-many,olusturur
Users,EtlJobExecutions,one-to-many,baslatir
Users,ExportHistory,one-to-many,disa_aktarir
Users,AuditLogs,one-to-many,eylem_yapar
UploadedFiles,FileColumns,one-to-many,icerir
UploadedFiles,DataQualityIssues,one-to-many,tespit_edilir
UploadedFiles,DataRecords,one-to-many,kaynaklik_eder
UploadedFiles,EtlJobExecutions,one-to-many,islenir
RulePipelines,Rules,one-to-many,icerir
RulePipelines,EtlJobExecutions,one-to-many,uygulanir
Rules,RuleConditions,one-to-many,kosullari_var
Rules,RuleExecutionResults,one-to-many,calisir
EtlJobExecutions,DataRecords,one-to-many,uretir
EtlJobExecutions,EtlLogs,one-to-many,uretir
EtlJobExecutions,RuleExecutionResults,one-to-many,detaylandirilir
EtlJobExecutions,ExportHistory,one-to-many,disa_aktarilir
