UrunKodu,UrunAdi,Kategori,BirimFiyat,StokAdedi,KritikStok,Tedarikci,KDV,SonGuncelleme,Aktif
URN-1338,Elektronik Ürün 400,Giyim,"168,06",943,100,Beta A.Ş,%18,15/06/2026,1
URN-1199,Gıda Ürün 566,Mobilya,1539.58,521,50,Beta A.Ş,%18,2026-03-05,0
URN-1439,  Gıda Ürün 522 ,Kırtasiye,"5.734,58",1003,100,bilinmiyor,20,09.05.2024,0
URN-1424,Elektronik Ürün 189,Giyim,2238.02,1230,10,,18,23.03.2025,E
URN-1183,Spor Ürün 584,Kozmetik,"6.431,86",1346,20,Delta San,1,2024-06-09,hayır
URN-1321,OYUNCAK ÜRÜN 175,Giyim,"7.963,20",541,20,null,20,13/04/2025,E
URN-1354,Mobilya Ürün 218,Kozmetik,"6.031,71",79,10,Gama Tic,1,04.03.2024,1
URN-1140,KOZMETIK ÜRÜN 574,Mobilya,930.89,996,100,N/A,20,2024-06-18,H
URN-1104,  Oyuncak Ürün 667 ,Oyuncak,"4.907,13",177,10,null,10,23/10/2025,false
URN-1342,Kozmetik Ürün 558,Oyuncak,5535.73,N/A,50,Beta A.Ş,%18,05.01.2026,hayır
URN-1332,giyim ürün 972,Elektronik,1146.09,1274,10,Epsilon,18,16.08.2024,0
URN-1327,Oyuncak Ürün 543,Oyuncak,"2.898,65",1051,50,Delta San,%18,24.03.2024,0
URN-1005,  Kozmetik Ürün 701 ,Giyim,2983.46,362,100,Gama Tic,18,2025-02-02,E
URN-1419,kozmetik ürün 411,Mobilya,5767.65,61,20,Gama Tic,1,2025-10-21,evet
URN-1436,Gıda Ürün 554,Elektronik,"1.400,79",1164,10,Delta San,%20,19.02.2024,evet
URN-1147,ELEKTRONIK ÜRÜN 579,Giyim,"7.353,79",1466,50,Alfa Ltd,%20,2024-03-07,H
URN-1468,Gıda Ürün 28,Giyim,"168,40",945,20,Beta A.Ş,8,08.06.2025,false
URN-1402,KOZMETIK ÜRÜN 908,Oyuncak,"2.494,51",500,50,Beta A.Ş,%18,21/09/2024,hayır
